MMSI,DateTime,# Timestamp,Latitude,Longitude,SOG,Heading,Ship type,DateDiff,distance,dLat/dt,dLong/dt
232018267.0,2021-12-13 02:20:58,2021-12-13 02:21:00,55.2272,14.2797,12.0,220.0,2,64,398.0201594714337,-0.0025312500000040927,-0.0038437499999993685
232018267.0,2021-12-13 02:22:02,2021-12-13 02:22:00,55.2245,14.2756,11.7,239.0,2,60,345.0937919642356,-0.0011999999999972033,-0.005000000000000782
232018267.0,2021-12-13 02:23:02,2021-12-13 02:23:00,55.2233,14.2706,11.3,269.0,2,56,337.2826643310707,0.0,-0.005678571428571517
232018267.0,2021-12-13 02:23:58,2021-12-13 02:24:00,55.2233,14.2653,11.6,269.0,2,60,362.90921157250693,-0.00010000000000331966,-0.00569999999999915
232018267.0,2021-12-13 02:24:58,2021-12-13 02:25:00,55.2232,14.2596,11.9,269.0,2,60,375.46654906400846,0.0,-0.00590000000000046
232018267.0,2021-12-13 02:25:58,2021-12-13 02:26:00,55.2232,14.2537,12.1,269.0,2,60,375.63202929749457,-9.999999999621423e-05,-0.00590000000000046
232018267.0,2021-12-13 02:26:58,2021-12-13 02:27:00,55.2231,14.2478,12.1,269.0,2,60,260.91808678749874,0.0,-0.004099999999999326
232018267.0,2021-12-13 02:27:58,2021-12-13 02:28:00,55.2231,14.2437,3.9,246.0,2,60,104.22793631167806,-0.00019999999999953388,-0.0015999999999998238
232018267.0,2021-12-13 02:28:58,2021-12-13 02:29:00,55.2229,14.2421,4.0,238.0,2,60,182.33069323913656,-0.000800000000005241,-0.002500000000001279
232018267.0,2021-12-13 02:29:58,2021-12-13 02:30:00,55.2221,14.2396,7.4,232.0,2,60,275.3819880049593,-0.001599999999996271,-0.0032999999999994145
